task_family,n_points,best_aic,best_bic,sigmoid_r2,sigmoid_aic,sigmoid_bic,exponential_r2,exponential_aic,exponential_bic,power_law_r2,power_law_aic,power_law_bic,linear_r2,linear_aic,linear_bic,quadratic_r2,quadratic_aic,quadratic_bic,logarithmic_r2,logarithmic_aic,logarithmic_bic
hack_container,12,linear,linear,0.0,-649.9902492565831,-648.0506226574311,0.0,-768.583479717582,-767.1287597682181,0.0,-750.8186579822031,-749.3639380328392,0.0,-943.9111133536832,-942.9413000541072,0.0,-758.1207786774189,-756.666058728055,0.0,-497.2472750527818,-496.2774617532058
hypothesis_testing,14,exponential,exponential,0.7945565469393935,-45.425644400861636,-42.8694150824006,0.7945437642849486,-47.42477335049496,-45.507601361649186,0.6574118502883738,-40.26663005549356,-38.349458066647784,0.4826691385741254,-36.496479125127905,-35.21836446589739,0.6887627449202897,-41.6102590079393,-39.693087019093525,0.4305977928761726,-35.15381728472376,-33.87570262549324
iclr_authors,12,exponential,exponential,0.8663907843580757,-80.45931424896882,-78.51968764981682,0.8680486019547535,-82.60914120801928,-81.15442125865528,0.6447792413831289,-70.72547168837227,-69.27075173900826,0.3849057698457232,-66.13703939592898,-65.16722609635298,0.7142946988485852,-73.33881473765298,-71.88409478828898,0.31166619088932335,-64.78705821077558,-63.81724491119958
image_labeling,12,sigmoid,sigmoid,0.8532589714825627,-72.72482919147404,-70.78520259232204,0.7243002681683617,-67.15711291581125,-65.70239296644725,0.381027162039531,-57.452124365514095,-55.99740441615009,0.20237050755008879,-56.409130726510895,-55.43931742693489,0.4186721864580637,-58.205083211560705,-56.7503632621967,0.16225990201091156,-55.82036617863052,-54.85055287905452
interpret_data,14,sigmoid,sigmoid,0.9667082239023775,-65.8146791033802,-63.258449784919165,0.7967945027603627,-42.489975976122864,-40.57280398727709,0.7989225373191958,-42.63736165364751,-40.72018966480174,0.7936578709259241,-44.27552617108755,-42.99741151185703,0.7985966111990398,-42.61468744858758,-40.69751545974181,0.771899119863275,-42.87199290793495,-41.593878248704435
local_research,14,exponential,exponential,0.9034202654127658,-60.47290103963036,-57.91667172116932,0.8898773962865373,-60.635745551700836,-58.71857356285506,0.5884983612368383,-42.180684056911325,-40.26351206806555,0.358691468723206,-37.96891672392761,-36.690802064697095,0.7130686099371535,-47.22866229790544,-45.311490309059664,0.3026054265644944,-36.795147149180366,-35.51703248994985
local_research_tex,14,sigmoid,sigmoid,0.9424703874278068,-65.3051869972928,-62.74895767883176,0.8767035752213994,-56.63310463732872,-54.71593264848295,0.48152744481924825,-36.52496509699349,-34.60779310814772,0.2732008360591154,-33.79628182147668,-32.518167162246165,0.6106930697000095,-40.53623163842751,-38.619059649581736,0.22650345935441474,-32.92448766087559,-31.646373001645074
make_web_server,14,linear,linear,0.7461960028578067,-53.19690307586125,-50.640673757400215,0.7286287343624496,-54.25994519564102,-52.34277320679525,0.7293920550850236,-54.29938027718583,-52.38220828834006,0.7259548672912388,-56.122675986243586,-54.84456132701307,0.7291949649032698,-54.289187456665076,-52.3720154678193,0.7101067608501994,-55.33559733586418,-54.05748267663366
multiarmed_bandit,11,quadratic,quadratic,0.8220548717760805,-42.85279334791145,-41.26121225671797,0.7790389681567939,-42.471170971740925,-41.277485153345815,0.7399904959479536,-40.68112089756924,-39.487435079174126,0.5037153565896915,-35.57037488630367,-34.77458434070692,0.7915911961930329,-43.11450383473826,-41.92081801634315,0.4135293329516334,-33.733671739765356,-32.93788119416861
munge_data,14,linear,linear,0.5516883821906298,-37.00614860973138,-34.44991929127035,0.5556348405420161,-39.12993535601974,-37.21276336717397,0.553591401176387,-39.065703106167156,-37.14853111732138,0.4964748033009255,-39.38011597883539,-38.102001319604874,0.5510282914606823,-38.985550273364304,-37.06837828451853,0.46579551515479434,-38.55208678971806,-37.27397213048754
